id;sex;example.audio;example.video;answer;order;v_a
64;m;p;p;p;2;v
64;m;k;p;p;2;v
64;m;t;k;t;2;v
65;m;p;k;p;2;v
65;m;k;t;t;2;v
65;m;t;t;t;2;v
65;m;k;k;k;2;v
65;m;p;t;t;2;v
65;m;t;p;k;2;v
65;m;p;p;p;2;v
65;m;k;p;k;2;v
65;m;t;k;t;2;v
66;f;p;k;p;2;v
66;f;k;t;k;2;v
66;f;t;t;t;2;v
66;f;k;k;k;2;v
66;f;p;t;p;2;v
66;f;t;p;k;2;v
66;f;p;p;p;2;v
66;f;k;p;p;2;v
66;f;t;k;t;2;v
67;f;p;k;p;2;v
67;f;k;t;k;2;v
67;f;t;t;t;2;v
67;f;k;k;k;2;v
67;f;p;t;p;2;v
67;f;t;p;k;2;v
67;f;p;p;p;2;v
67;f;k;p;k;2;v
67;f;t;k;t;2;v
68;f;p;k;p;2;v
68;f;k;t;k;2;v
68;f;t;t;t;2;v
68;f;k;k;k;2;v
68;f;p;t;p;2;v
68;f;t;p;k;2;v
68;f;p;p;p;2;v
68;f;k;p;k;2;v
68;f;t;k;t;2;v
69;f;p;k;p;2;v
69;f;k;t;k;2;v
69;f;t;t;t;2;v
69;f;k;k;k;2;v
69;f;p;t;p;2;v
69;f;t;p;k;2;v
69;f;p;p;p;2;v
69;f;k;p;k;2;v
69;f;t;k;t;2;v
70;f;p;k;p;2;v
70;f;k;t;t;2;v
70;f;t;t;t;2;v
70;f;k;k;k;2;v
70;f;p;t;p;2;v
70;f;t;p;k;2;v
70;f;p;p;p;2;v
70;f;k;p;k;2;v
70;f;t;k;t;2;v
71;f;p;k;p;2;v
71;f;k;t;k;2;v
71;f;t;t;t;2;v
71;f;k;k;k;2;v
71;f;p;t;p;2;v
71;f;t;p;k;2;v
71;f;p;p;p;2;v
71;f;k;p;k;2;v
71;f;t;k;t;2;v
72;m;p;k;-;2;v
72;m;k;t;k;2;v
72;m;t;t;t;2;v
72;m;k;k;k;2;v
72;m;p;t;p;2;v
72;m;t;p;-;2;v
72;m;p;p;p;2;v
72;m;k;p;k;2;v
72;m;t;k;t;2;v
73;m;p;k;p;2;v
73;m;k;t;-;2;v
73;m;t;t;t;2;v
